,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,-569000000.0,-628000000.0,-1123000000.0,-708000000.0,-236000000.0,
Repurchase Of Capital Stock,,,0.0,,,
Repayment Of Debt,-1022000000.0,-11000000.0,-108000000.0,-395000000.0,-1068000000.0,
Issuance Of Debt,557000000.0,1234000000.0,1198000000.0,1161000000.0,1041000000.0,
Issuance Of Capital Stock,0.0,0.0,0.0,247000000.0,244000000.0,
Capital Expenditure,-1129000000.0,-1038000000.0,-2012000000.0,-844000000.0,-812000000.0,
Interest Paid Supplemental Data,197000000.0,290000000.0,185000000.0,216000000.0,176000000.0,
End Cash Position,99000000.0,1259000000.0,30000000.0,129000000.0,82000000.0,
Beginning Cash Position,1259000000.0,30000000.0,129000000.0,82000000.0,179000000.0,
Changes In Cash,-1160000000.0,1229000000.0,-99000000.0,47000000.0,-97000000.0,
Financing Cash Flow,-613000000.0,1053000000.0,942000000.0,870000000.0,83000000.0,
Cash Flow From Continuing Financing Activities,-613000000.0,1053000000.0,942000000.0,870000000.0,83000000.0,
Net Other Financing Charges,-7000000.0,-24000000.0,-10000000.0,-13000000.0,-10000000.0,
Cash Dividends Paid,-144000000.0,-143000000.0,-138000000.0,-130000000.0,-128000000.0,
Preferred Stock Dividend Paid,,,0.0,0.0,0.0,0.0
Common Stock Dividend Paid,-144000000.0,-143000000.0,-138000000.0,-130000000.0,-128000000.0,
Net Preferred Stock Issuance,,,0.0,,,
Preferred Stock Payments,,,0.0,,,
Net Common Stock Issuance,0.0,0.0,0.0,247000000.0,244000000.0,
Common Stock Issuance,0.0,0.0,0.0,247000000.0,244000000.0,
Net Issuance Payments Of Debt,-462000000.0,1220000000.0,1090000000.0,766000000.0,-23000000.0,
Net Short Term Debt Issuance,487000000.0,566000000.0,-541000000.0,625000000.0,-780000000.0,
Short Term Debt Payments,,,-541000000.0,625000000.0,-623000000.0,-4000000.0
Short Term Debt Issuance,487000000.0,569000000.0,,,,157000000.0
Net Long Term Debt Issuance,-949000000.0,654000000.0,1631000000.0,141000000.0,757000000.0,
Long Term Debt Payments,-1019000000.0,-11000000.0,433000000.0,-1020000000.0,-441000000.0,
Long Term Debt Issuance,70000000.0,665000000.0,1198000000.0,1161000000.0,1198000000.0,
Investing Cash Flow,-1107000000.0,-234000000.0,-1930000000.0,-959000000.0,-756000000.0,
Cash Flow From Continuing Investing Activities,-1107000000.0,-234000000.0,-1930000000.0,-959000000.0,-756000000.0,
Net Other Investing Changes,22000000.0,-415000000.0,82000000.0,-115000000.0,56000000.0,
Net Business Purchase And Sale,0.0,1219000000.0,0.0,0.0,0.0,
Sale Of Business,0.0,1219000000.0,0.0,0.0,0.0,
Capital Expenditure Reported,-1129000000.0,-1038000000.0,-2012000000.0,-844000000.0,-812000000.0,
Operating Cash Flow,560000000.0,410000000.0,889000000.0,136000000.0,576000000.0,
Cash Flow From Continuing Operating Activities,560000000.0,410000000.0,889000000.0,136000000.0,576000000.0,
Change In Working Capital,44000000.0,-276000000.0,278000000.0,-423000000.0,-29000000.0,
Change In Other Working Capital,-125000000.0,-85000000.0,-21000000.0,-200000000.0,-109000000.0,
Change In Payables And Accrued Expense,-114000000.0,-216000000.0,457000000.0,-164000000.0,-13000000.0,
Change In Payable,-114000000.0,-216000000.0,457000000.0,-164000000.0,-13000000.0,
Change In Account Payable,-114000000.0,-216000000.0,457000000.0,-164000000.0,-13000000.0,
Change In Inventory,-86000000.0,110000000.0,23000000.0,-33000000.0,-41000000.0,
Change In Receivables,369000000.0,-85000000.0,-181000000.0,-26000000.0,134000000.0,
Changes In Account Receivables,339000000.0,-125000000.0,-229000000.0,-43000000.0,116000000.0,
Other Non Cash Items,-143000000.0,1000000.0,26000000.0,-5000000.0,-17000000.0,
Deferred Tax,29000000.0,45000000.0,-17000000.0,38000000.0,7000000.0,
Deferred Income Tax,29000000.0,45000000.0,-17000000.0,38000000.0,7000000.0,
Depreciation Amortization Depletion,370000000.0,363000000.0,356000000.0,334000000.0,386000000.0,
Depreciation And Amortization,370000000.0,363000000.0,356000000.0,334000000.0,386000000.0,
Operating Gains Losses,62000000.0,-20000000.0,-2000000.0,-1000000.0,1000000.0,
Pension And Employee Benefit Expense,,-63000000.0,,,,-2000000.0
Gain Loss On Investment Securities,,,-2000000.0,-1000000.0,-1000000.0,-2000000.0
Gain Loss On Sale Of Business,,,0.0,0.0,,
Net Income From Continuing Operations,198000000.0,297000000.0,248000000.0,193000000.0,228000000.0,
