,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,203145000.0,36751000.0,376970000.0,671355000.0,674121000.0,
Repurchase Of Capital Stock,-452250000.0,-541845000.0,-252886000.0,-520432000.0,-361653000.0,
Repayment Of Debt,-3027335000.0,-345965000.0,-77306000.0,-2776762000.0,-2106601000.0,
Issuance Of Debt,3556527000.0,633189000.0,676000.0,3348101000.0,1985278000.0,
Capital Expenditure,-121091000.0,-143258000.0,-170657000.0,-139046000.0,-124725000.0,
End Cash Position,796959000.0,524573000.0,879825000.0,1158644000.0,503246000.0,
Beginning Cash Position,524573000.0,879825000.0,1158644000.0,503246000.0,430781000.0,
Effect Of Exchange Rate Changes,10869000.0,9417000.0,-13369000.0,-654000.0,-1328000.0,
Changes In Cash,261517000.0,-364669000.0,-265450000.0,656052000.0,73793000.0,
Financing Cash Flow,4446000.0,-382540000.0,-565103000.0,-7858000.0,-563295000.0,
Cash Flow From Continuing Financing Activities,4446000.0,-382540000.0,-565103000.0,-7858000.0,-563295000.0,
Net Other Financing Charges,-76472000.0,-132856000.0,-256040000.0,-51344000.0,-83597000.0,
Proceeds From Stock Option Exercised,3976000.0,4937000.0,,,3278000.0,4143000.0
Net Common Stock Issuance,-452250000.0,-541845000.0,-232433000.0,-520432000.0,-361653000.0,
Common Stock Payments,-452250000.0,-541845000.0,-252886000.0,-520432000.0,-361653000.0,
Net Issuance Payments Of Debt,529192000.0,287224000.0,-76630000.0,571339000.0,-121323000.0,
Net Long Term Debt Issuance,529192000.0,287224000.0,-76630000.0,571339000.0,-121323000.0,
Long Term Debt Payments,-3027335000.0,-345965000.0,-77306000.0,-2776762000.0,-2106601000.0,
Long Term Debt Issuance,3556527000.0,633189000.0,676000.0,3348101000.0,1985278000.0,
Investing Cash Flow,-67165000.0,-162138000.0,-247974000.0,-146491000.0,-161758000.0,
Cash Flow From Continuing Investing Activities,-67165000.0,-162138000.0,-247974000.0,-146491000.0,-161758000.0,
Net Other Investing Changes,11726000.0,10674000.0,7925000.0,5158000.0,5739000.0,
Dividends Received Cfi,158000.0,1312000.0,126000.0,0.0,3725000.0,
Net Investment Purchase And Sale,44539000.0,-20623000.0,198000.0,-5379000.0,6363000.0,
Sale Of Investment,45651000.0,8742000.0,554000.0,15004000.0,6799000.0,
Purchase Of Investment,-1112000.0,-29365000.0,-356000.0,-20383000.0,-436000.0,
Net Business Purchase And Sale,-2497000.0,-10243000.0,-85566000.0,-7224000.0,-52860000.0,
Purchase Of Business,-2497000.0,-10243000.0,-85566000.0,-7224000.0,-52860000.0,
Net PPE Purchase And Sale,-121091000.0,-143258000.0,-170657000.0,-139046000.0,-124725000.0,
Purchase Of PPE,-121091000.0,-143258000.0,-170657000.0,-139046000.0,-124725000.0,
Operating Cash Flow,324236000.0,180009000.0,547627000.0,810401000.0,798846000.0,
Cash Flow From Continuing Operating Activities,324236000.0,180009000.0,547627000.0,810401000.0,798846000.0,
Change In Working Capital,-171602000.0,-290151000.0,61336000.0,272114000.0,276875000.0,
Change In Other Working Capital,-30367000.0,39829000.0,-21999000.0,569000.0,-68654000.0,
Change In Other Current Liabilities,34413000.0,-49872000.0,12061000.0,33423000.0,-24397000.0,
Change In Other Current Assets,-39903000.0,-28061000.0,-89849000.0,76884000.0,-6143000.0,
Change In Payables And Accrued Expense,-7754000.0,-81999000.0,17799000.0,145715000.0,-12612000.0,
Change In Accrued Expense,2829000.0,-128194000.0,,150131000.0,12224000.0,-135041000.0
Change In Payable,-10583000.0,46195000.0,45113000.0,-4416000.0,-24836000.0,
Change In Account Payable,-10583000.0,46195000.0,45113000.0,-4416000.0,-24836000.0,
Change In Inventory,5180000.0,-14772000.0,-2553000.0,-1927000.0,20493000.0,
Change In Receivables,-133171000.0,-155276000.0,145877000.0,17450000.0,368188000.0,
Changes In Account Receivables,-133171000.0,-155276000.0,145877000.0,17450000.0,368188000.0,
Other Non Cash Items,-189000.0,7137000.0,-10745000.0,7589000.0,8931000.0,
Stock Based Compensation,32808000.0,29759000.0,27396000.0,26560000.0,24290000.0,
Deferred Tax,-14173000.0,4335000.0,-4127000.0,-25070000.0,-25325000.0,
Deferred Income Tax,-14173000.0,4335000.0,-4127000.0,-25070000.0,-25325000.0,
Depreciation Amortization Depletion,174704000.0,176451000.0,174102000.0,187014000.0,175661000.0,
Depreciation And Amortization,174704000.0,176451000.0,174102000.0,187014000.0,175661000.0,
Operating Gains Losses,27468000.0,20262000.0,-49580000.0,46434000.0,38662000.0,
Gain Loss On Investment Securities,27468000.0,20262000.0,24739000.0,36352000.0,36217000.0,
Gain Loss On Sale Of Business,0.0,0.0,-74319000.0,0.0,0.0,
Net Income From Continuing Operations,275220000.0,232216000.0,349245000.0,295760000.0,299752000.0,
