,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Ordinary Shares Number,331291669.0,331174564.0,330858719.0,329926696.0,329539663.0
Share Issued,331291669.0,331174564.0,330858719.0,329926696.0,329539663.0
Net Debt,5774051000.0,5809959000.0,5825639000.0,5862978000.0,5773366000.0
Total Debt,5956016000.0,5992568000.0,6009240000.0,6048444000.0,5960212000.0
Tangible Book Value,3281623000.0,3287851000.0,3400012000.0,3470532000.0,3679191000.0
Invested Capital,9057206000.0,9099060000.0,9226977000.0,9335795000.0,9455327000.0
Working Capital,-479552000.0,-249483000.0,-443436000.0,-439498000.0,-568421000.0
Net Tangible Assets,3324816000.0,3331044000.0,3443205000.0,3513725000.0,3722384000.0
Capital Lease Obligations,180433000.0,181359000.0,182275000.0,183181000.0,184076000.0
Common Stock Equity,3281623000.0,3287851000.0,3400012000.0,3470532000.0,3679191000.0
Preferred Stock Equity,43193000.0,43193000.0,43193000.0,43193000.0,43193000.0
Total Capitalization,8850184000.0,8857607000.0,8970909000.0,9042205000.0,9066963000.0
Total Equity Gross Minority Interest,4283131000.0,4388853000.0,4460895000.0,4613047000.0,4744501000.0
Minority Interest,958315000.0,1057809000.0,1017690000.0,1099322000.0,1022117000.0
Stockholders Equity,3324816000.0,3331044000.0,3443205000.0,3513725000.0,3722384000.0
Gains Losses Not Affecting Retained Earnings,1160000.0,2473000.0,3638000.0,4606000.0,7910000.0
Other Equity Adjustments,1160000.0,2473000.0,3638000.0,4606000.0,7910000.0
Retained Earnings,-4305702000.0,-4293032000.0,-4179415000.0,-4064283000.0,-3840808000.0
Additional Paid In Capital,7582852000.0,7575098000.0,7572480000.0,7526910000.0,7508794000.0
Capital Stock,46506000.0,46505000.0,46502000.0,46492000.0,46488000.0
Common Stock,3313000.0,3312000.0,3309000.0,3299000.0,3295000.0
Preferred Stock,43193000.0,43193000.0,43193000.0,43193000.0,43193000.0
Total Liabilities Net Minority Interest,6363954000.0,6356559000.0,6436691000.0,6466717000.0,6373304000.0
Total Non Current Liabilities Net Minority Interest,5705801000.0,5707922000.0,5709979000.0,5711661000.0,5528655000.0
Long Term Debt And Capital Lease Obligation,5705801000.0,5707922000.0,5709979000.0,5711661000.0,5528655000.0
Long Term Capital Lease Obligation,180433000.0,181359000.0,182275000.0,183181000.0,184076000.0
Long Term Debt,5525368000.0,5526563000.0,5527704000.0,5528480000.0,5344579000.0
Current Liabilities,658153000.0,648637000.0,726712000.0,755056000.0,844649000.0
Current Deferred Liabilities,51698000.0,52266000.0,61592000.0,49727000.0,49168000.0
Current Deferred Revenue,51698000.0,52266000.0,61592000.0,49727000.0,49168000.0
Current Debt And Capital Lease Obligation,250215000.0,284646000.0,299261000.0,336783000.0,431557000.0
Current Debt,250215000.0,284646000.0,299261000.0,336783000.0,431557000.0
Line Of Credit,30215000.0,34646000.0,9361000.0,46783000.0,1557000.0
Commercial Paper,220000000.0,250000000.0,289900000.0,290000000.0,430000000.0
Payables And Accrued Expenses,356240000.0,311725000.0,365859000.0,368546000.0,363924000.0
Current Accrued Expenses,51718000.0,28055000.0,52631000.0,28773000.0,47289000.0
Interest Payable,51718000.0,28055000.0,52631000.0,28773000.0,47289000.0
Payables,304522000.0,283670000.0,313228000.0,339773000.0,316635000.0
Dividends Payable,153662000.0,153756000.0,151720000.0,151755000.0,151518000.0
Total Tax Payable,42507000.0,36646000.0,46403000.0,68816000.0,44333000.0
Accounts Payable,108353000.0,93268000.0,115105000.0,119202000.0,120784000.0
Total Assets,10647085000.0,10745412000.0,10897586000.0,11079764000.0,11117805000.0
Total Non Current Assets,10468484000.0,10346258000.0,10614310000.0,10764206000.0,10841577000.0
Other Non Current Assets,249651000.0,181450000.0,197493000.0,197473000.0,195958000.0
Investments And Advances,879781000.0,919814000.0,917483000.0,966227000.0,958943000.0
Long Term Equity Investment,879781000.0,919814000.0,917483000.0,966227000.0,958943000.0
Investmentsin Joint Venturesat Cost,879781000.0,919814000.0,917483000.0,966227000.0,958943000.0
Investment Properties,9153927000.0,9058928000.0,9312337000.0,9412588000.0,9497848000.0
Net PPE,185125000.0,186066000.0,186997000.0,187918000.0,188828000.0
Gross PPE,185125000.0,186066000.0,186997000.0,187918000.0,188828000.0
Other Properties,185125000.0,186066000.0,186997000.0,187918000.0,188828000.0
Current Assets,178601000.0,399154000.0,283276000.0,315558000.0,276228000.0
Restricted Cash,33577000.0,32071000.0,34101000.0,33267000.0,31616000.0
Receivables,143492000.0,365833000.0,247849000.0,280006000.0,241842000.0
Notes Receivable,143492000.0,365833000.0,247849000.0,280006000.0,241842000.0
Cash Cash Equivalents And Short Term Investments,1532000.0,1250000.0,1326000.0,2285000.0,2770000.0
Cash And Cash Equivalents,1532000.0,1250000.0,1326000.0,2285000.0,2770000.0
